DO,Conductivity,Nitrite,Nitrate,Phosphate,AN,BOD,COD,SS,TDS,SO4,Na,TH,CL,Mg,Ca,HCO3,SAR,K,Temperature,Salinity,pH,Alkalinity,NH4N,H2SiO3,Cu,Zn,As,Cd,Pb,Hg,Cr,Oil
9.42343651,165.5499598,0.054207082,3.942661251,0.569950458,0.454616679,4.118881544,37.43135816,37.35073538,2148.481479,446.5594714,432.806094,9329.258667,906.3798443,94.95234688,156.5423397,184.6706892,15.66364506,8.986010461,23.5613683,22.86135455,8.428181562,1.636428472,0.242370828,1.778774851,33.03256957,205.8810615,6.326497226,1.741809125,16.56681586,0.163698782,3.544150468,0.326060608
8.710309523,111.5276105,0.041379055,3.053426635,0.4538001,0.412333079,4.061049534,31.60550935,32.6646995,1795.506181,80.43360261,96.58620863,3821.837397,116.3216008,51.09295742,136.7906318,134.5994585,3.122382741,2.412062854,20.51793222,19.41862566,8.195260579,1.444979378,0.133337479,0.091973837,10.58711364,138.1945118,2.19531327,0.704266973,2.199634098,0.011548671,1.482361762,0.165912697
9.457301894,173.3505084,0.049442187,4.745507537,0.566055491,0.441644022,4.118501526,42.7607714,37.41184767,640.8512985,25.53977366,10.94364043,928.1490078,35.85352704,19.82047168,69.47021471,127.8943352,0.412188021,1.086298239,28.84242919,26.42246302,8.460700396,1.966783977,0.409038362,2.365237758,43.22986222,234.2230389,11.4783339,2.492419235,84.3293356,0.236787344,5.656692963,0.393515727
8.936902301,152.7179857,0.037014018,3.520930293,0.397665029,0.405089342,4.04493904,24.7163855,25.73854657,1836.489967,220.2412153,169.5193983,11538.55061,461.7179839,62.90322734,146.7768532,153.3688425,12.20455379,8.600107005,30.3114386,27.37512232,8.466567852,2.101926466,0.408470941,2.459829892,44.19306319,230.4339771,10.76841261,2.31963088,91.22716459,0.211518719,5.320058055,0.415424304
5.392608402,94.84100528,0.00871333,0.395471074,0.152383393,0.197627227,2.0198214,11.84962343,5.994039084,2103.44976,456.950798,629.9372617,6566.6437,1192.607239,93.66995939,156.3511624,243.7954168,18.94916244,9.083284942,29.45524996,30.16640907,8.523818322,2.263055374,0.426349136,2.751538662,46.24143143,252.1486391,10.73655278,2.542670026,87.10692827,0.266134389,5.378349585,0.410015677
7.827641816,98.71462797,0.020409901,1.616312486,0.37828992,0.217418482,2.715047468,20.39996543,9.376142867,1908.916394,307.7626068,280.3256674,6864.616417,495.3221458,74.6245311,149.9743412,162.0941254,13.30235681,8.184914816,30.05086559,30.04428364,8.528059432,2.439420446,0.354476441,2.319658671,42.24296889,225.5378102,11.88683992,2.321050038,87.52170547,0.232571507,5.462248632,0.407898692
9.047263534,173.6000767,0.058994415,4.380803596,0.535906213,0.440844198,4.119928539,43.99030082,37.14103664,1833.443726,289.5902287,147.8777676,12048.93348,494.521334,67.48109066,148.386112,159.5480163,13.06528094,8.319149786,18.68976437,18.47988589,7.908354772,1.387883304,0.078107928,0.02733359,0.791720126,23.34767677,1.416926275,0.107839971,0.111664602,0.004361622,0.414404485,0.069211549
8.551364377,149.7788002,0.039741774,2.762528992,0.450109315,0.401012767,3.897680236,33.16735917,29.24477535,1884.268857,213.2609877,216.1262505,11456.73943,460.5140317,62.77309015,150.7521503,151.8122934,13.57724731,7.589062718,19.25112135,17.53989762,7.60343118,1.378310916,0.004747562,0.045558248,2.928768775,99.82192346,0.788653177,0.132385645,0.107899771,0.004699629,0.402171431,0.066247157
9.018870588,168.2235042,0.059048178,3.793409239,0.491388284,0.440881637,4.119836081,42.56953,37.93364811,1631.532303,111.9720204,85.85415319,3815.861413,272.364871,59.53551549,103.2410025,141.7029367,1.56443433,4.442245969,23.42535667,22.12405195,8.365676004,1.595876959,0.23983661,0.822640093,27.42287443,188.3018407,6.832566271,1.776004423,17.96196924,0.100880162,4.580110833,0.345585235
9.448014487,167.9376436,0.057442001,4.341470505,0.538798497,0.457623755,4.119511504,35.26210115,36.80356717,1689.087473,84.72031202,68.29251618,2757.410565,154.1102299,36.21065758,135.6933034,137.7629385,2.377175402,2.892722788,18.42131227,17.76305267,7.738510404,1.409947845,0.015977574,0.053741212,2.415970287,47.10166312,0.704698457,0.078714097,0.141954198,0.000580431,0.048927634,0.022456241
